Alphabet,CharClassKind,Quantifier,AlternationDepth,NestingDepth,Operation,InputLength
ascii_alnum,single,plus,1,1,union,medium
single_char,set,star,1,0,complement,short
ascii_alnum,range,optional,0,2,complement,empty
ascii_alnum,range,bounded,2,1,intersection,short
ascii_alnum,negated,bounded,1,0,minimize,empty
ascii_alnum,set,bounded,2,2,toAutomaton,medium
ascii_lower,range,none,2,0,complement,medium
unicode_bmp,negated,none,2,2,minimize,short
ascii_alnum,set,none,0,1,intersection,empty
unicode_bmp,range,bounded,0,0,toAutomaton,empty
ascii_lower,negated,plus,0,0,union,short
single_char,single,star,0,1,toAutomaton,medium
single_char,single,bounded,1,0,intersection,medium
unicode_bmp,single,bounded,1,2,union,short
unicode_bmp,set,plus,2,1,complement,empty
ascii_alnum,single,optional,2,0,toAutomaton,short
ascii_lower,set,star,0,2,minimize,medium
ascii_lower,negated,optional,2,1,intersection,medium
unicode_bmp,range,optional,1,2,determinize,medium
ascii_lower,single,star,2,2,determinize,empty
ascii_alnum,single,plus,0,2,minimize,short
unicode_bmp,negated,star,0,1,determinize,short
ascii_alnum,set,star,2,0,union,empty
ascii_lower,range,none,1,2,intersection,empty
ascii_lower,range,bounded,0,2,complement,short
unicode_bmp,negated,bounded,1,1,complement,medium
ascii_alnum,range,star,1,1,minimize,medium
ascii_lower,single,bounded,2,1,minimize,empty
ascii_alnum,range,plus,1,0,determinize,empty
unicode_bmp,negated,star,2,0,intersection,empty
ascii_alnum,negated,none,0,0,determinize,medium
unicode_bmp,set,none,1,2,intersection,medium
unicode_bmp,negated,optional,0,2,minimize,empty
ascii_lower,range,plus,1,1,minimize,short
unicode_bmp,range,none,0,1,union,short
unicode_bmp,single,optional,0,0,minimize,medium
single_char,set,plus,0,2,intersection,empty
ascii_lower,negated,plus,1,2,complement,medium
single_char,set,optional,0,1,complement,medium
ascii_lower,range,star,2,2,union,short
ascii_lower,range,optional,1,1,union,empty
unicode_bmp,range,plus,2,2,toAutomaton,medium
single_char,single,bounded,0,0,complement,empty
single_char,set,bounded,0,1,union,short
ascii_alnum,negated,bounded,0,2,union,medium
unicode_bmp,single,plus,2,1,complement,short
